# graph: 2359 edges, 297 vertices
# 2core: 2344 depth: 1 edges, 297 vertices
IT:        0/10000 | DEC:     0/30 | ERR:        1e+20/1e-05 | ON:   285 | S:    25 | ON2:   285 | BAD:   200 | COST:           25 | EN:       -282.5   
IT:       54/10000 | DEC:     0/30 | ERR:      5.56311/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    34 | COST:          125 | EN:       -272.5   
IT:       55/10000 | DEC:     0/30 | ERR:      5.18236/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    26 | COST:          130 | EN:         -272   
IT:       56/10000 | DEC:     0/30 | ERR:      5.63148/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    34 | COST:          126 | EN:       -272.4   
IT:       57/10000 | DEC:     0/30 | ERR:      6.04499/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    40 | COST:          125 | EN:       -272.5   
IT:       58/10000 | DEC:     0/30 | ERR:      5.79308/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    39 | COST:          125 | EN:       -272.5   
IT:       59/10000 | DEC:     0/30 | ERR:      5.67297/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    37 | COST:          124 | EN:       -272.6   
IT:       60/10000 | DEC:     0/30 | ERR:      5.81426/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    37 | COST:          125 | EN:       -272.5   
IT:       61/10000 | DEC:     0/30 | ERR:      5.76006/1e-05 | ON:   285 | S:   117 | ON2:   285 | BAD:    58 | COST:          117 | EN:       -273.3   
IT:       62/10000 | DEC:     0/30 | ERR:      5.75159/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    48 | COST:          122 | EN:       -272.8   
IT:       63/10000 | DEC:     0/30 | ERR:      5.31324/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    34 | COST:          127 | EN:       -272.3   
IT:       64/10000 | DEC:     0/30 | ERR:      5.68873/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    42 | COST:          124 | EN:       -272.6   
IT:       65/10000 | DEC:     0/30 | ERR:      5.95299/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    24 | COST:          128 | EN:       -272.2   
IT:       66/10000 | DEC:     0/30 | ERR:      6.21084/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    31 | COST:          124 | EN:       -272.6   
IT:       67/10000 | DEC:     0/30 | ERR:        6.469/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    31 | COST:          124 | EN:       -272.6   
IT:       68/10000 | DEC:     0/30 | ERR:      6.42608/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    22 | COST:          127 | EN:       -272.3   
IT:       69/10000 | DEC:     0/30 | ERR:      6.24806/1e-05 | ON:   285 | S:   131 | ON2:   285 | BAD:    25 | COST:          131 | EN:       -271.9   
IT:       70/10000 | DEC:     0/30 | ERR:      5.93392/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    44 | COST:          125 | EN:       -272.5   
IT:       71/10000 | DEC:     0/30 | ERR:       5.9007/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    41 | COST:          124 | EN:       -272.6   
IT:       72/10000 | DEC:     0/30 | ERR:      6.07573/1e-05 | ON:   285 | S:   120 | ON2:   285 | BAD:    50 | COST:          120 | EN:         -273   
IT:       73/10000 | DEC:     0/30 | ERR:      5.92302/1e-05 | ON:   285 | S:   131 | ON2:   285 | BAD:    32 | COST:          131 | EN:       -271.9   
IT:       74/10000 | DEC:     0/30 | ERR:      6.05132/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    31 | COST:          127 | EN:       -272.3   
IT:       75/10000 | DEC:     0/30 | ERR:      6.06107/1e-05 | ON:   285 | S:   117 | ON2:   285 | BAD:    50 | COST:          117 | EN:       -273.3   
IT:       76/10000 | DEC:     0/30 | ERR:      6.14509/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    42 | COST:          125 | EN:       -272.5   
IT:       77/10000 | DEC:     0/30 | ERR:      6.01165/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    38 | COST:          122 | EN:       -272.8   
IT:       78/10000 | DEC:     0/30 | ERR:      6.18907/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    27 | COST:          128 | EN:       -272.2   
IT:       79/10000 | DEC:     0/30 | ERR:      6.52121/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    46 | COST:          121 | EN:       -272.9   
IT:       80/10000 | DEC:     0/30 | ERR:      6.02542/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    44 | COST:          122 | EN:       -272.8   
IT:       81/10000 | DEC:     0/30 | ERR:      5.75102/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    52 | COST:          121 | EN:       -272.9   
IT:       82/10000 | DEC:     0/30 | ERR:      5.77217/1e-05 | ON:   285 | S:   132 | ON2:   285 | BAD:    27 | COST:          132 | EN:       -271.8   
IT:       83/10000 | DEC:     0/30 | ERR:      5.81318/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    32 | COST:          128 | EN:       -272.2   
IT:       84/10000 | DEC:     0/30 | ERR:      5.89011/1e-05 | ON:   285 | S:   118 | ON2:   285 | BAD:    51 | COST:          118 | EN:       -273.2   
IT:       85/10000 | DEC:     0/30 | ERR:      5.68445/1e-05 | ON:   285 | S:   115 | ON2:   285 | BAD:    72 | COST:          115 | EN:       -273.5   
IT:       86/10000 | DEC:     0/30 | ERR:      5.73479/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    36 | COST:          126 | EN:       -272.4   
IT:       87/10000 | DEC:     0/30 | ERR:      5.70468/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    57 | COST:          121 | EN:       -272.9   
IT:       88/10000 | DEC:     0/30 | ERR:      5.76936/1e-05 | ON:   285 | S:   129 | ON2:   285 | BAD:    38 | COST:          129 | EN:       -272.1   
IT:       89/10000 | DEC:     0/30 | ERR:      6.03385/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    35 | COST:          124 | EN:       -272.6   
IT:       90/10000 | DEC:     0/30 | ERR:      6.07754/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    38 | COST:          124 | EN:       -272.6   
IT:       91/10000 | DEC:     0/30 | ERR:      6.00328/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    38 | COST:          123 | EN:       -272.7   
IT:       92/10000 | DEC:     0/30 | ERR:      5.94183/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    25 | COST:          130 | EN:         -272   
IT:       93/10000 | DEC:     0/30 | ERR:       5.8582/1e-05 | ON:   285 | S:   132 | ON2:   285 | BAD:    25 | COST:          132 | EN:       -271.8   
IT:       94/10000 | DEC:     0/30 | ERR:      5.57077/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    39 | COST:          121 | EN:       -272.9   
IT:       95/10000 | DEC:     0/30 | ERR:      5.35499/1e-05 | ON:   285 | S:   116 | ON2:   285 | BAD:    59 | COST:          116 | EN:       -273.4   
IT:       96/10000 | DEC:     0/30 | ERR:      5.82886/1e-05 | ON:   285 | S:   119 | ON2:   285 | BAD:    49 | COST:          119 | EN:       -273.1   
IT:       97/10000 | DEC:     0/30 | ERR:      6.14226/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    42 | COST:          121 | EN:       -272.9   
IT:       98/10000 | DEC:     0/30 | ERR:      6.28924/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    38 | COST:          124 | EN:       -272.6   
IT:       99/10000 | DEC:     0/30 | ERR:      5.99525/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    32 | COST:          126 | EN:       -272.4   
IT:      100/10000 | DEC:     0/30 | ERR:      6.37537/1e-05 | ON:   285 | S:   129 | ON2:   285 | BAD:    25 | COST:          129 | EN:       -272.1   
IT:      101/10000 | DEC:     0/30 | ERR:      6.73118/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    25 | COST:          128 | EN:       -272.2   
IT:      102/10000 | DEC:     0/30 | ERR:      6.78514/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    31 | COST:          126 | EN:       -272.4   
IT:      103/10000 | DEC:     0/30 | ERR:      6.46001/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    29 | COST:          128 | EN:       -272.2   
IT:      104/10000 | DEC:     0/30 | ERR:      6.36262/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    27 | COST:          126 | EN:       -272.4   
IT:      105/10000 | DEC:     0/30 | ERR:      6.78526/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    26 | COST:          127 | EN:       -272.3   
IT:      106/10000 | DEC:     0/30 | ERR:      6.90471/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    33 | COST:          123 | EN:       -272.7   
IT:      107/10000 | DEC:     0/30 | ERR:      6.67989/1e-05 | ON:   285 | S:   118 | ON2:   285 | BAD:    49 | COST:          118 | EN:       -273.2   
IT:      108/10000 | DEC:     0/30 | ERR:      6.66372/1e-05 | ON:   285 | S:   115 | ON2:   285 | BAD:    54 | COST:          115 | EN:       -273.5   
IT:      109/10000 | DEC:     0/30 | ERR:      6.50637/1e-05 | ON:   285 | S:   116 | ON2:   285 | BAD:    58 | COST:          116 | EN:       -273.4   
IT:      110/10000 | DEC:     0/30 | ERR:      6.23786/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    34 | COST:          128 | EN:       -272.2   
IT:      111/10000 | DEC:     0/30 | ERR:      6.27648/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    29 | COST:          127 | EN:       -272.3   
IT:      112/10000 | DEC:     0/30 | ERR:      6.89461/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    25 | COST:          130 | EN:         -272   
IT:      113/10000 | DEC:     0/30 | ERR:       7.0373/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    27 | COST:          127 | EN:       -272.3   
IT:      114/10000 | DEC:     0/30 | ERR:      7.01438/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    39 | COST:          126 | EN:       -272.4   
IT:      115/10000 | DEC:     0/30 | ERR:      6.97496/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    27 | COST:          127 | EN:       -272.3   
IT:      116/10000 | DEC:     0/30 | ERR:      7.27548/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    27 | COST:          128 | EN:       -272.2   
IT:      117/10000 | DEC:     0/30 | ERR:      7.41688/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    24 | COST:          128 | EN:       -272.2   
IT:      118/10000 | DEC:     0/30 | ERR:      7.53103/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    28 | COST:          124 | EN:       -272.6   
IT:      119/10000 | DEC:     0/30 | ERR:       7.6251/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    32 | COST:          125 | EN:       -272.5   
IT:      120/10000 | DEC:     0/30 | ERR:      7.84338/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    36 | COST:          122 | EN:       -272.8   
IT:      121/10000 | DEC:     0/30 | ERR:      7.84348/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    30 | COST:          123 | EN:       -272.7   
IT:      122/10000 | DEC:     0/30 | ERR:       7.2175/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    30 | COST:          126 | EN:       -272.4   
IT:      123/10000 | DEC:     0/30 | ERR:      7.37266/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    39 | COST:          123 | EN:       -272.7   
IT:      124/10000 | DEC:     0/30 | ERR:      7.36526/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    29 | COST:          127 | EN:       -272.3   
IT:      125/10000 | DEC:     0/30 | ERR:      7.65624/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    27 | COST:          124 | EN:       -272.6   
IT:      126/10000 | DEC:     0/30 | ERR:      7.73361/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    23 | COST:          124 | EN:       -272.6   
IT:      127/10000 | DEC:     0/30 | ERR:      8.10355/1e-05 | ON:   285 | S:   131 | ON2:   285 | BAD:     9 | COST:          131 | EN:       -271.9   
IT:      128/10000 | DEC:     0/30 | ERR:      8.02127/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    21 | COST:          126 | EN:       -272.4   
IT:      129/10000 | DEC:     0/30 | ERR:       8.0067/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    26 | COST:          127 | EN:       -272.3   
IT:      130/10000 | DEC:     0/30 | ERR:      7.82301/1e-05 | ON:   285 | S:   117 | ON2:   285 | BAD:    46 | COST:          117 | EN:       -273.3   
IT:      131/10000 | DEC:     0/30 | ERR:      7.69942/1e-05 | ON:   285 | S:   120 | ON2:   285 | BAD:    39 | COST:          120 | EN:         -273   
IT:      132/10000 | DEC:     0/30 | ERR:       7.4184/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    31 | COST:          125 | EN:       -272.5   
IT:      133/10000 | DEC:     0/30 | ERR:      7.34096/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    23 | COST:          127 | EN:       -272.3   
IT:      134/10000 | DEC:     0/30 | ERR:      7.97018/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    26 | COST:          126 | EN:       -272.4   
IT:      135/10000 | DEC:     0/30 | ERR:      8.01943/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    18 | COST:          128 | EN:       -272.2   
IT:      136/10000 | DEC:     0/30 | ERR:      7.95872/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    28 | COST:          124 | EN:       -272.6   
IT:      137/10000 | DEC:     0/30 | ERR:      7.97258/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    30 | COST:          123 | EN:       -272.7   
IT:      138/10000 | DEC:     0/30 | ERR:      8.04551/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    17 | COST:          127 | EN:       -272.3   
IT:      139/10000 | DEC:     0/30 | ERR:      8.22994/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    33 | COST:          122 | EN:       -272.8   
IT:      140/10000 | DEC:     0/30 | ERR:      8.33075/1e-05 | ON:   285 | S:   129 | ON2:   285 | BAD:    17 | COST:          129 | EN:       -272.1   
IT:      141/10000 | DEC:     0/30 | ERR:       8.3508/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    33 | COST:          124 | EN:       -272.6   
IT:      142/10000 | DEC:     0/30 | ERR:      8.26671/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    26 | COST:          125 | EN:       -272.5   
IT:      143/10000 | DEC:     0/30 | ERR:      7.95574/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    26 | COST:          126 | EN:       -272.4   
IT:      144/10000 | DEC:     0/30 | ERR:      7.84113/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    42 | COST:          121 | EN:       -272.9   
IT:      145/10000 | DEC:     0/30 | ERR:      7.97308/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    35 | COST:          121 | EN:       -272.9   
IT:      146/10000 | DEC:     0/30 | ERR:      8.22873/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    32 | COST:          122 | EN:       -272.8   
IT:      147/10000 | DEC:     0/30 | ERR:      8.16401/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    23 | COST:          127 | EN:       -272.3   
IT:      148/10000 | DEC:     0/30 | ERR:      8.35538/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    23 | COST:          127 | EN:       -272.3   
IT:      149/10000 | DEC:     0/30 | ERR:      8.50972/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    26 | COST:          126 | EN:       -272.4   
IT:      150/10000 | DEC:     0/30 | ERR:      8.50441/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    23 | COST:          127 | EN:       -272.3   
IT:      151/10000 | DEC:     0/30 | ERR:      8.45179/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    23 | COST:          124 | EN:       -272.6   
IT:      152/10000 | DEC:     0/30 | ERR:      8.41001/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    25 | COST:          124 | EN:       -272.6   
IT:      153/10000 | DEC:     0/30 | ERR:      8.29502/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    19 | COST:          126 | EN:       -272.4   
IT:      154/10000 | DEC:     0/30 | ERR:      8.33198/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    16 | COST:          127 | EN:       -272.3   
IT:      155/10000 | DEC:     0/30 | ERR:        8.561/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    23 | COST:          123 | EN:       -272.7   
IT:      156/10000 | DEC:     0/30 | ERR:      8.83616/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    23 | COST:          125 | EN:       -272.5   
IT:      157/10000 | DEC:     0/30 | ERR:      8.78692/1e-05 | ON:   285 | S:   119 | ON2:   285 | BAD:    37 | COST:          119 | EN:       -273.1   
IT:      158/10000 | DEC:     0/30 | ERR:      8.73589/1e-05 | ON:   285 | S:   116 | ON2:   285 | BAD:    62 | COST:          116 | EN:       -273.4   
IT:      159/10000 | DEC:     0/30 | ERR:      8.02025/1e-05 | ON:   285 | S:   131 | ON2:   285 | BAD:    35 | COST:          131 | EN:       -271.9   
IT:      160/10000 | DEC:     0/30 | ERR:      7.71438/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    32 | COST:          128 | EN:       -272.2   
IT:      161/10000 | DEC:     0/30 | ERR:      7.97551/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    31 | COST:          128 | EN:       -272.2   
IT:      162/10000 | DEC:     0/30 | ERR:      7.89208/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    31 | COST:          127 | EN:       -272.3   
IT:      163/10000 | DEC:     0/30 | ERR:      8.07362/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    36 | COST:          122 | EN:       -272.8   
IT:      164/10000 | DEC:     0/30 | ERR:      8.66571/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    30 | COST:          126 | EN:       -272.4   
IT:      165/10000 | DEC:     0/30 | ERR:      8.72833/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    20 | COST:          127 | EN:       -272.3   
IT:      166/10000 | DEC:     0/30 | ERR:      8.63023/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    22 | COST:          127 | EN:       -272.3   
IT:      167/10000 | DEC:     0/30 | ERR:       8.5814/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    24 | COST:          130 | EN:         -272   
IT:      168/10000 | DEC:     0/30 | ERR:      8.45307/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    35 | COST:          127 | EN:       -272.3   
